PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
339,341,1552500,2,4,103,0,1,6,16,9
922,348,511001,2,3,23,0,0,3,11,9
177,116,1306504,3,4,115,0,0,5,11,9
922,348,511001,2,0,40,0,0,3,7,9
724,126,170703,3,0,46,0,0,2,12,9
505,117,2200904,3,3,33,0,0,5,10,9
779,126,215510,3,0,42,0,0,2,6,9
101,344,1200001,2,3,28,0,0,2,16,9
101,344,1200001,2,3,14,0,1,3,16,9
759,359,1950501,2,3,1,0,1,4,5,9
109,106,1200502,3,0,52,0,0,2,10,9
503,117,2201601,3,3,28,0,0,2,6,9
115,355,1202000,2,0,40,0,1,2,10,9
